,resource_id,sg_dep_median,sg_dep_cat,identity,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
170,06,2.5,mod,0.2333333333333333,1469e0fd-0691-405e-b1e8-c144e854fbb7,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,09022023NHMPB03,nhampossa,f,shrimp_net,shrimp_net
123,06,2.5,mod,0.1666666666666666,c4bf73af-5f99-4b43-abd8-9373a369c415,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB07,marrambone,m,gill_net,fish
174,06,2.5,mod,0.1,caac8748-ebed-413c-a5d2-a635b5bd8932,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,09022023NHMPB04,nhampossa,m,fence_trap,fish
99,06,2.5,mod,0.1,fa135abb-d0cf-4f86-81fa-d786fd8a957a,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,glean,glean
100,06,2.5,mod,0.1,fa135abb-d0cf-4f86-81fa-d786fd8a957a,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
101,06,2.5,mod,0.1,fa135abb-d0cf-4f86-81fa-d786fd8a957a,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,gill_net,fish
111,06,2.5,mod,0.0666666666666666,e8d84b41-6838-4a4d-b98d-66385c122993,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1.0,02022023MARB05,marrambone,m,fence_trap,fish
9,07,0.0,none,0.1333333333333333,1205bf41-13d7-4421-b564-4a77c527cd17,nhambulungue,,carapau,Caranginae,Caranginae,bony fish,fish,1.0,13022023NHMUB01,nhamua,m,fence_trap,fish
311,07,0.0,none,1.0,66a27df6-476b-4917-8244-24e557b34ede,nhambulungue,,carapau,Caranginae,Caranginae,bony fish,fish,1.0,19022023ILHB07,ilha,m,gill_net,fish
280,10,0.0,none,0.1666666666666666,943aa64d-7c5c-4594-944e-529e0b325617,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,1.0,01022023MOR04,morrumbene,f,glean,glean
