,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
31,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,900.0,0.0,0.3333333333333333,0.0,15022023JOSB06,josina_machel,m,hand_line,fish
91,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,1800.0,0.0,0.058901971092355086,0.0,02022023MARB07,marrambone,m,gill_net,fish
82,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,3220.0,2250.0,0.4352844851885159,0.2377214960606152,02022023MARB05,marrambone,m,fence_trap,fish
160,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,3840.0000000000005,0.0,0.3571428571428572,0.0,17022023NHCHB03,nhamaxaxa,m,gill_net,fish
166,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,800.0,200.0,0.2222222222222222,0.25,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
57,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,1320.0,211.20000000000002,0.3793394129818376,0.19760479041916165,04022023CHAB08,chamane,m,gill_net,fish
6,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,27600.0,0.0,1.0,0.0,13022023NHMUB01,nhamua,m,fence_trap,fish
88,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,5600.0,952.0,0.2708406612733029,0.1507047343693531,02022023MARB06,marrambone,m,hand_line,fish
116,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,31012023MUCB06,mucucune,m,gill_net,fish
113,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,3750.0,0.0,0.7225433526011561,0.0,31012023MUCB05,mucucune,m,hand_line,fish
189,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish
39,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,33.33333333333333,16.666666666666664,0.045454545454545456,0.024999999999999998,04022023CHAB02,chamane,m,hand_line,fish
52,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,7875.0,0.0,0.17648000426860178,0.0,04022023CHAB07,chamane,m,gill_net,fish
