,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,sg_dep_median,sg_dep_cat,prop_cap_hot,prop_cap_cold,days_hot,days_cold,cap_daily_hot,cap_daily_cold,cap_monthly_hot,cap_monthly_cold,cap_income_hot,cap_income_cold,val_trade_hot,val_trade_cold,activity_income_hot,activity_income_cold,income_fr_hot,income_fr_cold,tot_income_hot,tot_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat,seagrass
154,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.2,4.0,2.0,5.0,4.0,40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17022023NHCHB04,nhamaxaxa,m,gill_net,fish,0.0
8,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1,0.0,2.0,,2.0,,8.0,,75.0,0.0,0.0,0.0,6000.0,6000.0,75.0,0.0,11973.333333333332,7700.666666666666,0.006263919821826281,0.0,13022023NHMUB03,nhamua,m,gill_net,fish,0.0
160,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2666666666666666,0.2,6.0,4.0,7.0,4.0,84.0,32.0,8400.0,4266.666666666666,0.0,0.0,3000.0,3000.0,8400.0,4266.666666666666,17800.0,10866.666666666666,0.47191011235955055,0.3926380368098159,09032023NHCHB07,nhamaxaxa,m,hand_line,fish,0.0
156,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2333333333333333,0.0666666666666666,5.0,3.0,2.0,1.0,20.0,6.0,1000.0,600.0,0.0,0.0,0.0,0.0,1000.0,600.0,3600.0,800.0,0.2777777777777778,0.75,17022023NHCHB05,nhamaxaxa,m,hand_line,fish,0.0
181,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1,0.2,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish,0.0
16,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.1666666666666666,7.0,2.0,48.0,12.0,672.0,48.0,22176.000000000004,2808.0000000000005,0.0,0.0,38000.0,38000.0,22176.000000000004,2808.0000000000005,90416.0,44552.0,0.24526632454432848,0.06302747351409589,16022023NHMUB06,nhamua,m,gill_net,fish,0.0
3,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1333333333333333,0.4333333333333333,3.0,6.0,36.0,24.0,216.0,288.0,9979.199999999999,12830.4,0.0,0.0,0.0,0.0,9979.199999999999,12830.4,16632.0,38544.00000000001,0.6,0.33287671232876703,16022023NHMUB07,nhamua,m,gill_net,fish,0.0
167,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.1666666666666666,10.0,10.0,5.0,3.0,100.0,60.0,4000.0,2000.0,0.0,0.0,0.0,600.0,4000.0,2000.0,4000.0,2600.0,1.0,0.7692307692307693,14022023SAHB02,sahane,m,hand_line,fish,0.0
151,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1333333333333333,0.0333333333333333,4.0,2.0,8.0,2.0,64.0,8.0,6912.0,600.0,0.0,0.0,0.0,0.0,6912.0,600.0,10752.0,2039.9999999999998,0.6428571428571429,0.29411764705882354,17022023NHCHB03,nhamaxaxa,m,gill_net,fish,0.0
176,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.4333333333333333,0.1333333333333333,6.0,4.0,4.0,2.0,48.0,16.0,3040.0,1013.3333333333333,0.0,0.0,0.0,0.0,3040.0,1013.3333333333333,3040.0,2880.0,1.0,0.3518518518518518,04032023NGUB01,nguja,m,hand_line,fish,0.0
