,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
153,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.2666666666666666,0.0666666666666666,80.0,12.0,17022023NHCHB03,nhamaxaxa,m,gill_net,fish
113,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0666666666666666,0.0666666666666666,,,31012023MUCB06,mucucune,m,gill_net,fish
110,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.6,0.0,90.0,,31012023MUCB05,mucucune,m,hand_line,fish
18,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0333333333333333,0.0333333333333333,1.0,1.0,15022023JOSB01,josina_machel,m,gill_net,fish
30,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.2666666666666666,0.1333333333333333,18.0,2.0,15022023JOSB06,josina_machel,m,hand_line,fish
89,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2666666666666666,0.1333333333333333,840.0,30.0,02022023MARB07,marrambone,m,gill_net,fish
114,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0666666666666666,0.0666666666666666,,,31012023MUCB06,mucucune,m,gill_net,fish
74,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1333333333333333,72.0,42.0,02022023MARB04,marrambone,f,gill_net,fish
230,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1,0.2,12.0,60.0,19022023ILHB05,ilha,m,hand_line,fish
111,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2,0.0,6.0,,31012023MUCB05,mucucune,m,hand_line,fish
222,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2333333333333333,0.2333333333333333,24.0,18.0,18022023ILHB01,ilha,m,fence_trap,fish
80,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0333333333333333,0.0,8.0,,02022023MARB05,marrambone,m,fence_trap,fish
102,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1,75.0,10.0,31012023MUB02,mucucune,m,fence_trap,fish
97,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0666666666666666,0.1,72.0,240.0,31012023MUCB01,mucucune,m,fence_trap,fish
152,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1333333333333333,0.2333333333333333,8.0,12.0,17022023NHCHB03,nhamaxaxa,m,gill_net,fish
157,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1,0.0666666666666666,8.0,,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
86,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2666666666666666,0.1,150.0,8.0,02022023MARB06,marrambone,m,hand_line,fish
42,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2,0.0666666666666666,40.0,6.0,04022023CHAB03,chamane,m,hand_line,fish
56,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2333333333333333,0.2,80.0,24.0,04022023CHAB08,chamane,m,gill_net,fish
