,resource_id,sg_dep_median,sg_dep_cat,social,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
104,02,0.0,none,0.2,e8d84b41-6838-4a4d-b98d-66385c122993,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,02022023MARB05,marrambone,m,fence_trap,fish
229,02,0.0,none,0.5,5aeb00bc-7c10-415f-8538-cfe07ef741c2,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,14022023SAHB06,sahane,m,hand_line,fish
216,02,0.0,none,0.6666666666666666,ba1de70c-3350-4192-9540-077338da9ce6,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
74,02,0.0,none,0.2666666666666666,fb35740b-c147-41b7-b604-35eed1bf5c77,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,gill_net,fish
75,02,0.0,none,0.2666666666666666,fb35740b-c147-41b7-b604-35eed1bf5c77,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,shrimp_net,shrimp_net
91,02,0.0,none,0.0666666666666666,fa135abb-d0cf-4f86-81fa-d786fd8a957a,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,glean,glean
67,02,0.0,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,shrimp_net,shrimp_net
159,02,0.0,none,0.1666666666666666,a00016e0-0782-4f50-a9a8-4a5e202f5c50,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,09022023NHMPB02,nhampossa,m,gill_net,fish
55,02,0.0,none,0.1,7dc8a846-da63-495f-815e-10c1c4b6720d,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB04,chamane,f,shrimp_net,shrimp_net
7,02,0.0,none,0.1666666666666666,1205bf41-13d7-4421-b564-4a77c527cd17,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,13022023NHMUB01,nhamua,m,fence_trap,fish
144,02,0.0,none,0.0333333333333333,72b20ec3-78b0-44b1-8f62-06504a26e4c5,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,31012023MUCB06,mucucune,m,gill_net,fish
14,02,0.0,none,0.1333333333333333,310a5eff-b95e-4979-a0dd-c98a7703f436,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,13022023NHMUB03,nhamua,m,gill_net,fish
15,02,0.0,none,0.1333333333333333,310a5eff-b95e-4979-a0dd-c98a7703f436,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,13022023NHMUB03,nhamua,m,glean,glean
110,02,0.0,none,0.4,a9a9124d-f801-444e-a6ac-6f1064ecb6a6,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,02022023MARB06,marrambone,m,hand_line,fish
128,02,0.0,none,0.1333333333333333,b1aecc22-d28c-4728-9c70-966d76a26e88,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,31012023MUB02,mucucune,m,fence_trap,fish
274,02,0.0,none,0.1333333333333333,8423da8b-88cf-49f4-8723-5e442b776d59,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,18022023ILHB01,ilha,m,fence_trap,fish
123,02,0.0,none,0.1,47619fa4-71bc-4eef-b706-4e52c3cd7db8,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,31012023MUCB01,mucucune,m,basket_trap,fish
