,ParentGlobalID,id,ccp,gender,fish_pract,owner,catch_proportion,pract_cat
116,217d4e9d-94cc-407a-9aaf-9dabfa977971,24012023CUGB01,kuguana,m,gill_net,owner,0.75,fish
117,412ebe42-d0ab-49cd-a390-790fb5dd06a9,24012023CUGB02,kuguana,m,shrimp_net,worker,0.33,shrimp_net
118,412ebe42-d0ab-49cd-a390-790fb5dd06a9,24012023CUGB02,kuguana,m,glean,,1.0,glean
119,412ebe42-d0ab-49cd-a390-790fb5dd06a9,24012023CUGB02,kuguana,m,gill_net,owner,1.0,fish
120,f24eae6e-daf3-4cb3-bc7f-4c8139f8238b,07022023CUGB03,kuguana,f,glean,,1.0,glean
121,074701a4-86f2-4beb-a67e-b12fc841f7fe,07022023CUGB04,kuguana,f,shrimp_net,worker,0.5,shrimp_net
122,074701a4-86f2-4beb-a67e-b12fc841f7fe,07022023CUGB04,kuguana,f,drag_net,NR,0.33,fish
123,368b8b4c-a618-434a-8ebe-7f7fa8c143fc,07022023CUGB05,kuguana,m,drag_net,supervisor,0.24,fish
124,454f8afd-86aa-4418-80e3-4e1ccb572b8c,07022023CUGB06,kuguana,m,fence_trap,owner,1.0,fish
125,1dfbdb30-77d7-4a1e-aaf1-2a5bccccfb75,07022023CUGB07,kuguana,m,fence_trap,owner,1.0,fish
126,d63dc568-99da-438e-bd41-3a79bf13b0d9,07022023CUGBO8,kuguana,f,glean,,1.0,glean
